Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"3,092","3,546","3,835","4,385","5,833","7,093","8,485","9,127","10,059","11,346","12,261","13,189","14,097"
Expenses+,"2,945","3,388","3,666","4,165","5,533","6,742","7,969","8,607","9,561","10,854","11,743","12,891","13,455"
Operating Profit,147,158,169,220,300,352,516,521,498,492,519,298,642
OPM %,5%,4%,4%,5%,5%,5%,6%,6%,5%,4%,4%,2%,5%
Other Income+,12,17,15,3,36,18,53,202,55,43,68,94,-199
Interest,26,48,48,77,92,94,152,127,98,115,148,161,156
Depreciation,31,45,43,36,56,66,128,113,112,135,166,164,168
Profit before tax,102,82,94,110,187,210,289,483,344,285,272,67,119
Tax %,36%,41%,31%,1%,13%,-2%,22%,24%,5%,-22%,30%,82%,
Net Profit+,65,48,74,110,163,215,225,367,326,346,190,12,52
EPS in Rs,55.37,50.55,61.07,8.14,11.07,14.72,15.38,24.64,22.11,23.77,13.19,0.82,3.94
Dividend Payout %,32%,26%,36%,0%,16%,12%,13%,0%,0%,0%,0%,0%,
