Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,973,"1,037",974,"1,130","1,275","1,377","1,317","1,258","1,536","1,854","1,933","1,970","2,038"
Expenses+,880,956,860,994,"1,136","1,246","1,178","1,094","1,388","1,712","1,760","1,776","1,820"
Operating Profit,93,81,113,136,139,131,138,164,147,142,173,194,218
OPM %,10%,8%,12%,12%,11%,9%,10%,13%,10%,8%,9%,10%,11%
Other Income+,17,163,24,35,32,32,38,38,30,22,31,39,41
Interest,0,1,1,3,3,2,2,2,2,1,2,4,3
Depreciation,9,11,7,9,9,10,12,14,15,15,15,29,31
Profit before tax,100,232,129,159,159,149,161,185,160,147,187,202,225
Tax %,35%,32%,39%,32%,33%,35%,24%,24%,23%,22%,24%,16%,
Net Profit+,65,159,86,108,107,97,122,141,123,115,143,169,188
EPS in Rs,37.67,92.18,49.39,61.87,61.05,55.41,69.75,80.76,70.54,65.76,82.03,96.85,107.70
Dividend Payout %,27%,19%,50%,47%,56%,82%,70%,72%,76%,62%,62%,54%,
