Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,579,626,748,810,803,"1,024","1,672","1,177","1,032",897,891
Expenses+,511,574,651,710,733,723,"1,143","1,103",985,839,831
Operating Profit,68,52,97,100,70,302,529,74,47,58,60
OPM %,12%,8%,13%,12%,9%,29%,32%,6%,5%,7%,7%
Other Income+,9,18,3,27,5,-8,11,28,21,21,23
Interest,3,2,3,2,6,5,9,9,10,10,11
Depreciation,6,8,9,11,14,21,20,23,25,27,28
Profit before tax,69,60,88,113,54,268,511,70,33,42,44
Tax %,31%,37%,34%,33%,14%,25%,25%,28%,42%,30%,
Net Profit+,48,38,58,77,47,201,381,51,19,29,31
EPS in Rs,2.79,2.20,3.37,4.45,2.71,11.70,22.16,2.95,1.12,1.70,1.78
Dividend Payout %,18%,23%,15%,17%,28%,13%,11%,25%,67%,29%,
