Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,63,57,144,94,201,150,45,42,96,40,97,135,111
Expenses+,53,49,111,64,170,109,24,26,70,25,52,73,61
Operating Profit,10,8,33,30,31,41,21,16,26,15,45,62,51
OPM %,15%,14%,23%,32%,16%,28%,47%,38%,27%,37%,47%,46%,45%
Other Income+,2,8,7,3,1,6,1,2,1,1,0,-0,1
Interest,0,0,0,0,0,0,0,0,0,0,0,1,1
Depreciation,2,2,3,2,2,2,2,2,2,2,2,2,2
Profit before tax,10,14,38,31,30,45,20,16,25,14,43,59,49
Tax %,26%,2%,6%,10%,-2%,20%,19%,37%,24%,19%,14%,20%,
Net Profit+,7,13,36,28,31,36,16,10,19,12,37,47,39
EPS in Rs,3.83,7.09,16.55,13.10,14.23,16.67,7.70,4.91,9.25,5.56,17.81,22.36,18.79
Dividend Payout %,39%,21%,9%,0%,11%,0%,0%,39%,0%,36%,11%,9%,
