Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,641,721,707,644,716,740,727,918,"1,181","1,236","1,384","1,428"
Expenses+,607,683,681,625,670,698,685,862,"1,066","1,118","1,257","1,300"
Operating Profit,34,38,25,18,46,42,42,56,115,117,127,128
OPM %,5%,5%,4%,3%,6%,6%,6%,6%,10%,10%,9%,9%
Other Income+,2,1,2,3,-3,14,7,7,7,14,20,20
Interest,0,0,1,1,0,1,1,0,1,1,1,1
Depreciation,2,2,2,1,1,6,5,5,5,6,7,7
Profit before tax,33,38,25,19,41,50,42,57,116,124,140,140
Tax %,34%,35%,34%,33%,36%,29%,26%,26%,26%,25%,25%,
Net Profit+,22,24,17,13,26,35,31,42,86,93,104,104
EPS in Rs,6.16,6.87,4.70,3.57,7.45,9.92,8.83,11.91,24.32,26.09,29.36,29.21
Dividend Payout %,11%,10%,11%,14%,13%,15%,20%,25%,41%,50%,68%,
