Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,277,319,323,394,505,635,723,798
Expenses+,194,237,247,302,385,501,569,636
Operating Profit,82,82,76,92,120,133,154,162
OPM %,30%,26%,23%,23%,24%,21%,21%,20%
Other Income+,-14,7,11,21,12,-5,24,22
Interest,4,4,6,3,3,3,10,19
Depreciation,23,27,32,28,27,43,56,64
Profit before tax,41,59,49,81,102,82,112,101
Tax %,37%,41%,47%,21%,28%,16%,18%,
Net Profit+,26,35,26,64,74,69,92,82
EPS in Rs,"7,254.85","9,576.18","7,064.52",9.33,10.76,9.53,12.89,11.55
Dividend Payout %,-0%,-0%,-0%,20%,18%,26%,-0%,
