Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,159,187,159,187,234,271,253,219,265
Expenses+,115,133,122,135,168,196,200,181,217
Operating Profit,44,54,37,52,66,75,53,38,48
OPM %,28%,29%,23%,28%,28%,28%,21%,17%,18%
Other Income+,5,9,12,8,8,8,20,21,21
Interest,6,1,5,0,0,0,1,1,0
Depreciation,4,6,6,8,11,13,19,25,28
Profit before tax,40,56,38,53,62,69,54,33,41
Tax %,36%,28%,26%,28%,26%,26%,26%,26%,
Net Profit+,25,40,28,38,46,51,40,24,30
EPS in Rs,469.10,747.45,465.55,552.67,16.76,16.73,12.99,7.98,9.90
Dividend Payout %,0%,0%,6%,0%,20%,20%,20%,33%,
