Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,748,"1,388","1,370","1,999","2,726","3,781","3,674","3,756"
Expenses+,619,"1,172","1,161","1,610","2,365","3,227","3,192","3,329"
Operating Profit,129,215,209,390,361,555,482,427
OPM %,17%,16%,15%,19%,13%,15%,13%,11%
Other Income+,18,10,12,5,-646,-322,24,24
Interest,1,14,7,3,40,65,43,40
Depreciation,9,26,30,34,71,182,200,199
Profit before tax,138,186,185,357,-396,-16,263,212
Tax %,35%,27%,26%,25%,18%,545%,23%,
Net Profit+,90,136,137,269,-466,-100,203,165
EPS in Rs,7.48,11.31,11.37,16.71,-24.79,-4.86,9.81,7.98
Dividend Payout %,33%,22%,22%,15%,-10%,-51%,25%,
