Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,569.67,518.88,523.01,514.65,500.25,551.57,812.42,932.13,929.00,987.77,"1,015.34",955.79,984.35
Expenses+,504.43,455.68,452.93,454.45,453.21,489.27,727.95,857.16,859.45,883.86,892.80,858.50,919.73
Operating Profit,65.24,63.20,70.08,60.20,47.04,62.30,84.47,74.97,69.55,103.91,122.54,97.29,64.62
OPM %,11.45%,12.18%,13.40%,11.70%,9.40%,11.30%,10.40%,8.04%,7.49%,10.52%,12.07%,10.18%,6.56%
Other Income+,12.70,9.21,7.11,7.58,8.76,8.21,5.55,7.60,12.81,13.01,19.52,21.38,18.96
Interest,5.81,6.05,7.43,5.52,5.71,5.46,19.65,18.80,17.98,19.17,21.49,22.49,22.26
Depreciation,17.07,18.61,19.00,19.08,20.75,21.50,27.44,27.67,28.78,30.43,41.52,39.38,42.59
Profit before tax,55.06,47.75,50.76,43.18,29.34,43.55,42.93,36.10,35.60,67.32,79.05,56.80,18.73
Tax %,16.82%,15.04%,7.03%,24.62%,19.15%,30.15%,-3.14%,24.71%,20.87%,25.22%,33.13%,26.99%,56.81%
Net Profit+,45.80,40.58,47.19,32.55,23.71,30.42,44.28,27.18,28.16,50.34,52.86,41.47,8.08
EPS in Rs,7.56,6.70,7.79,5.37,3.91,5.02,6.99,3.82,3.94,7.04,7.40,5.67,1.10
Raw PDF,,,,,,,,,,,,,
