Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,67,109,93,69,41,49,50,38,93,30,57,57,67
Expenses+,84,122,106,74,45,49,49,34,88,50,94,86,97
Operating Profit,-17,-13,-14,-5,-4,-1,1,5,5,-20,-37,-29,-29
OPM %,-26%,-12%,-15%,-8%,-10%,-1%,3%,12%,6%,-67%,-64%,-50%,-44%
Other Income+,5,1,8,5,6,5,3,1,2,19,3,4,7
Interest,1,6,14,16,19,15,5,6,5,4,2,0,0
Depreciation,4,6,6,6,5,4,4,4,4,4,4,4,4
Profit before tax,-18,-25,-27,-22,-21,-15,-4,-4,-2,-9,-39,-29,-26
Tax %,-33%,-1%,9%,9%,4%,-6%,20%,22%,32%,3%,2%,4%,
Net Profit+,-12,-24,-29,-24,-22,-15,-5,-5,-2,-9,-40,-30,-28
EPS in Rs,-1.74,-3.53,-4.08,-3.33,-3.17,-2.05,-0.75,-0.71,-0.35,-1.31,-5.57,-3.96,-3.72
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,
