Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Revenue+,19,19,30,76,123,162,197,175
Interest,5,2,4,24,51,79,99,92
Expenses+,12,12,22,40,63,83,144,158
Financing Profit,2,6,4,12,10,-0,-46,-76
Financing Margin %,12%,31%,12%,15%,8%,-0%,-24%,-43%
Other Income+,0,0,0,0,1,21,3,14
Depreciation,0,0,1,5,8,9,28,27
Profit before tax,2,6,3,7,2,11,-71,-89
Tax %,12%,27%,53%,45%,74%,4%,-17%,
Net Profit+,2,4,1,4,1,11,-59,-75
EPS in Rs,0.32,0.60,0.17,0.45,0.05,0.94,-5.07,-6.39
Dividend Payout %,16%,3%,6%,2%,18%,1%,0%,
