Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,577,623,736,908,"1,091","1,246","2,384","2,467","2,414","2,664","3,212","3,477","3,641"
Expenses+,421,474,583,697,797,905,"1,921","1,947","1,881","2,198","2,735","3,045","3,219"
Operating Profit,156,149,154,211,294,340,464,520,533,466,477,432,422
OPM %,27%,24%,21%,23%,27%,27%,19%,21%,22%,18%,15%,12%,12%
Other Income+,2,9,8,33,17,-44,-30,51,24,32,34,30,29
Interest,40,42,47,64,42,51,45,23,14,10,23,30,34
Depreciation,72,84,107,139,171,202,232,260,253,319,337,369,369
Profit before tax,46,33,8,41,98,43,158,288,290,169,151,64,47
Tax %,47%,39%,54%,36%,42%,43%,44%,27%,25%,26%,26%,23%,
Net Profit+,25,20,4,26,56,25,88,210,219,125,112,49,35
EPS in Rs,120.10,83.50,0.75,4.10,5.43,1.68,6.91,16.73,17.75,10.13,9.51,4.26,3.61
Dividend Payout %,0%,0%,7%,24%,18%,60%,43%,24%,23%,39%,42%,47%,
