Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"1,549","1,850","1,484","3,239","1,866","1,774","2,419","3,141","1,825","1,360",561,468,498
Expenses+,"1,517","1,849","1,427","3,323","2,084","1,945","2,609","3,289","2,005","1,382",542,464,498
Operating Profit,32,2,57,-84,-218,-172,-190,-148,-179,-22,19,4,-0
OPM %,2%,0%,4%,-3%,-12%,-10%,-8%,-5%,-10%,-2%,3%,1%,-0%
Other Income+,15,84,35,221,224,187,176,174,270,"-1,225",40,231,124
Interest,46,56,79,68,66,74,114,150,170,102,55,52,48
Depreciation,30,34,36,41,57,43,69,70,69,52,33,34,34
Profit before tax,-28,-5,-23,27,-118,-102,-197,-194,-148,"-1,400",-29,149,41
Tax %,3%,-289%,54%,-6%,1%,0%,-1%,1%,3%,-0%,0%,0%,0%
Net Profit+,-29,9,-35,29,-119,-102,-196,-195,-152,"-1,400",-29,149,41
EPS in Rs,-0.35,-0.07,-0.35,-0.37,-0.79,-0.56,-1.05,-1.20,-0.92,-9.31,-0.20,0.96,0.26
Raw PDF,,,,,,,,,,,,,
