Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,43.88,63.18,65.79,54.08,85.19,81.35,74.29,91.91,91.37
Expenses+,38.39,53.79,57.71,47.72,72.49,72.69,74.86,87.70,88.15
Operating Profit,5.49,9.39,8.08,6.36,12.70,8.66,-0.57,4.21,3.22
OPM %,12.51%,14.86%,12.28%,11.76%,14.91%,10.65%,-0.77%,4.58%,3.52%
Other Income+,0.74,0.17,1.07,-3.78,0.40,0.71,7.06,0.29,-2.10
Interest,1.89,1.88,2.51,2.38,2.47,1.27,1.04,1.42,1.43
Depreciation,0.27,0.57,1.74,1.39,0.88,0.29,0.20,0.14,0.13
Profit before tax,4.07,7.11,4.90,-1.19,9.75,7.81,5.25,2.94,-0.44
Tax %,28.50%,19.69%,1.63%,-1.68%,10.36%,2.18%,0.76%,9.86%,
Net Profit+,2.91,5.71,4.83,-1.17,8.74,7.63,5.21,2.64,-0.66
EPS in Rs,1.19,2.34,1.82,-0.44,3.30,2.90,1.98,1.00,-0.26
Dividend Payout %,0.00%,0.00%,0.00%,-10.47%,0.00%,0.00%,0.00%,0.00%,
