Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"1,834","1,723","1,699","1,806","1,887","1,885","1,975","1,899","2,081","2,075","2,099","2,028","2,207"
Expenses+,"1,690","1,582","1,534","1,623","1,693","1,709","1,754","1,725","1,873","1,889","1,878","1,833","2,004"
Operating Profit,144,141,165,183,194,176,221,174,208,186,221,195,203
OPM %,8%,8%,10%,10%,10%,9%,11%,9%,10%,9%,11%,10%,9%
Other Income+,-763,4,21,-9,15,34,12,6,7,-88,-51,67,3
Interest,49,51,53,49,50,50,45,44,43,42,41,36,32
Depreciation,77,82,92,80,85,89,82,80,82,81,81,81,83
Profit before tax,-745,11,41,44,74,71,105,56,91,-25,47,144,92
Tax %,7%,-91%,3%,23%,25%,-443%,44%,39%,36%,82%,51%,25%,31%
Net Profit+,-795,22,40,34,56,384,58,34,58,-45,23,107,63
EPS in Rs,-52.03,1.34,2.59,2.11,3.55,25.05,3.72,2.12,3.64,-3.10,1.35,6.88,3.99
Raw PDF,,,,,,,,,,,,,
