Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Revenue+,1,6,4,1,1,0,0,2,2,41,190,171,239
Interest,0,0,0,0,0,0,0,0,0,8,64,32,75
Expenses+,1,6,4,0,1,1,1,1,1,8,20,28,30
Financing Profit,0,0,0,0,1,-0,-1,2,1,25,105,111,134
Financing Margin %,8%,6%,4%,35%,55%,-172%,-344%,69%,55%,59%,55%,65%,56%
Other Income+,0,0,0,0,0,0,0,0,-0,1,0,0,3
Depreciation,0,0,0,0,0,0,0,0,0,0,0,1,1
Profit before tax,0,0,0,0,1,-0,-1,2,1,25,105,110,136
Tax %,11%,32%,38%,23%,29%,-27%,5%,4%,30%,26%,25%,26%,
Net Profit+,0,0,0,0,1,-0,-1,2,1,18,79,81,100
EPS in Rs,0.50,0.48,0.18,0.46,1.18,-0.68,-2.00,3.15,1.56,4.46,14.29,14.49,17.97
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
