Metric,Mar 201418m,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"6,645","4,535","4,690","4,399","5,847","6,806","6,669","6,666","5,576","6,338","6,104","5,575","5,438"
Expenses+,"6,742","4,704","3,906","3,548","5,575","6,510","6,216","6,503","5,403","6,075","5,855","5,285","5,202"
Operating Profit,-97,-168,785,851,272,297,454,163,172,263,249,290,235
OPM %,-1%,-4%,17%,19%,5%,4%,7%,2%,3%,4%,4%,5%,4%
Other Income+,96,124,90,96,101,96,11,22,25,22,40,8,18
Interest,"1,129",889,848,802,680,322,301,264,254,210,162,103,79
Depreciation,556,258,242,243,197,204,216,216,215,213,222,216,215
Profit before tax,"-1,686","-1,191",-216,-98,-505,-134,-52,-294,-272,-138,-95,-20,-41
Tax %,1%,0%,-2%,-6%,-1%,2%,-5%,-1%,-1%,-2%,-9%,24%,
Net Profit+,"-1,626","-1,192",-212,-92,-500,-137,-50,-291,-268,-135,-87,-25,-132
EPS in Rs,-25.41,-14.72,-1.90,-0.81,-4.41,-1.20,-0.44,-2.57,-2.09,-1.05,-0.68,-0.18,-1.03
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
