Metric,Mar 2016,Mar 2017,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,362,164,689,911,"1,267","1,650",866,638,649
Expenses+,318,142,587,781,"1,119","1,470",755,546,555
Operating Profit,44,22,102,130,149,180,111,92,94
OPM %,12%,13%,15%,14%,12%,11%,13%,14%,15%
Other Income+,2,0,4,7,11,34,11,36,40
Interest,11,3,10,5,3,5,4,2,2
Depreciation,10,10,50,51,19,19,11,7,7
Profit before tax,25,9,45,81,137,190,107,119,125
Tax %,27%,-1%,17%,25%,25%,19%,26%,27%,
Net Profit+,25,9,38,61,103,154,79,87,91
EPS in Rs,17.02,5.64,22.09,35.29,59.88,89.86,46.06,52.47,53.17
Dividend Payout %,9%,25%,11%,8%,6%,4%,7%,6%,
