Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,746,723,765,829,885,890,918,913,984,974,"1,014","1,090","1,270"
Expenses+,690,657,697,756,804,801,820,827,885,879,910,"1,008","1,152"
Operating Profit,57,65,68,73,81,89,98,86,99,95,104,82,118
OPM %,8%,9%,9%,9%,9%,10%,11%,9%,10%,10%,10%,8%,9%
Other Income+,3,2,8,3,4,3,5,7,7,5,10,21,39
Interest,8,9,11,11,13,13,14,14,14,14,15,17,17
Depreciation,29,31,33,35,37,40,42,41,42,44,44,50,44
Profit before tax,23,27,32,30,35,39,46,37,50,42,56,36,96
Tax %,28%,27%,22%,27%,22%,34%,23%,22%,20%,28%,23%,23%,23%
Net Profit+,16,20,25,22,28,25,36,29,40,30,43,28,73
EPS in Rs,2.70,3.27,4.04,3.55,4.54,4.19,5.96,4.83,6.65,4.98,7.08,4.65,12.19
Raw PDF,,,,,,,,,,,,,
