Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,028","1,430","1,715","1,528","1,615","1,831","1,843","1,720","2,222","2,705","2,911","3,163","3,494"
Expenses+,795,994,"1,316","1,119","1,093","1,382","1,449","1,387","1,877","2,236","2,353","2,585","2,708"
Operating Profit,233,436,399,408,521,449,394,333,345,468,557,579,785
OPM %,23%,31%,23%,27%,32%,25%,21%,19%,16%,17%,19%,18%,22%
Other Income+,3,1,1,2,4,5,29,-36,33,52,25,10,13
Interest,83,87,83,78,52,14,9,7,13,10,13,32,40
Depreciation,157,224,171,118,121,106,93,90,122,131,147,332,352
Profit before tax,-5,126,145,215,353,335,322,199,244,380,424,226,406
Tax %,-28%,4%,4%,6%,5%,9%,11%,6%,-1%,35%,30%,25%,
Net Profit+,-3,121,139,195,336,305,287,187,247,248,295,169,301
EPS in Rs,-1.00,28.30,3.20,4.64,7.89,7.13,6.92,4.54,6.11,6.13,7.30,4.18,7.49
Dividend Payout %,-250%,28%,0%,0%,13%,0%,14%,0%,0%,0%,0%,0%,
