Metric,Mar 2014,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,126,10,9,4,10,24,46,164,244,310
Expenses+,141,15,15,8,13,25,44,143,210,263
Operating Profit,-15,-5,-7,-4,-3,-1,3,20,34,47
OPM %,-12%,-56%,-78%,-115%,-29%,-5%,6%,12%,14%,15%
Other Income+,8,3,-3,-12,-10,150,-1,1,1,4
Interest,9,2,2,2,3,1,2,13,16,19
Depreciation,2,3,3,2,2,1,1,6,7,11
Profit before tax,-19,-7,-15,-22,-18,147,-1,3,12,21
Tax %,0%,0%,0%,0%,0%,0%,-765%,0%,5%,
Net Profit+,-19,-7,-15,-22,-18,147,8,3,11,20
EPS in Rs,-5.62,-2.23,-4.37,-6.41,-5.49,145.50,7.77,3.28,10.85,19.37
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,
