Metric,Sep 201418m,Mar 20156m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,661,250,420,432,370,391,367,392,511,485,578,600,630
Expenses+,637,228,387,414,438,375,344,374,475,459,503,520,542
Operating Profit,25,21,33,19,-68,16,23,18,36,26,75,80,88
OPM %,4%,9%,8%,4%,-18%,4%,6%,5%,7%,5%,13%,13%,14%
Other Income+,-78,6,0,90,76,9,84,2,77,-3,24,-0,5
Interest,48,19,32,36,31,40,33,23,21,21,29,37,37
Depreciation,23,5,9,10,10,10,10,10,11,12,13,13,14
Profit before tax,-125,4,-7,62,-32,-25,65,-12,81,-10,56,30,42
Tax %,2%,28%,0%,1%,-1%,-1%,0%,2%,-0%,1%,1%,-3%,
Net Profit+,-128,3,-7,62,-32,-25,64,-13,81,-10,56,31,43
EPS in Rs,-63.95,1.60,-3.58,26.71,-13.49,-10.48,25.79,-5.04,24.94,-3.18,17.09,9.32,13.10
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
