Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,14,19,12,14,23,15,13,19,27,31,31,26,18
Expenses+,5,6,4,3,6,4,3,4,5,8,7,5,4
Operating Profit,9,13,8,10,17,10,10,15,22,22,24,21,14
OPM %,63%,68%,69%,76%,75%,71%,74%,78%,81%,73%,77%,82%,77%
Other Income+,0,0,0,0,0,0,0,1,0,0,0,0,5
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,8,13,8,10,17,10,10,16,22,22,24,21,18
Tax %,20%,21%,19%,19%,21%,19%,17%,17%,21%,18%,12%,17%,
Net Profit+,7,10,6,8,13,8,8,13,17,18,21,17,15
EPS in Rs,1.34,2.07,1.27,1.63,2.70,1.65,1.61,3.22,4.31,4.55,5.15,4.34,3.75
Dividend Payout %,16%,10%,16%,2%,7%,12%,12%,16%,7%,7%,8%,9%,
