Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,886,"1,128","1,351","1,394","1,402","1,468","1,436"
Expenses+,800,"1,067","1,256","1,198","1,234","1,363","1,356"
Operating Profit,86,60,95,196,168,105,80
OPM %,10%,5%,7%,14%,12%,7%,6%
Other Income+,2,1,4,4,4,-42,-43
Interest,8,11,14,11,5,3,4
Depreciation,21,24,31,37,36,33,33
Profit before tax,58,26,54,152,132,27,-0
Tax %,24%,20%,23%,26%,24%,30%,
Net Profit+,44,21,42,112,100,19,-3
EPS in Rs,389.57,186.44,366.70,9.02,7.99,1.52,-0.22
Dividend Payout %,0%,0%,0%,0%,3%,66%,
