Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,069","1,595","2,012","2,888","3,775","4,987","5,050","10,602","12,096","14,021","16,101","16,838"
Expenses+,"1,189","1,439","1,871","2,673","3,565","4,544","6,447","11,962","11,223","12,840","15,180","16,134"
Operating Profit,-120,156,141,215,210,443,"-1,397","-1,360",873,"1,182",921,704
OPM %,-11%,10%,7%,7%,6%,9%,-28%,-13%,7%,8%,6%,4%
Other Income+,0,0,0,0,0,0,-3,7,5,6,11,12
Interest,1,2,3,20,0,0,0,0,0,0,0,0
Depreciation,19,18,20,23,28,29,46,43,52,59,71,0
Profit before tax,-140,137,118,171,182,413,"-1,446","-1,397",826,"1,129",861,716
Tax %,0%,0%,0%,1%,30%,35%,-25%,-25%,25%,25%,25%,
Net Profit+,-140,137,118,170,128,268,"-1,086","-1,041",619,845,646,533
EPS in Rs,-3.87,3.53,2.59,3.73,2.81,5.46,-19.81,-18.08,10.63,14.44,10.99,9.07
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
