Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,245,264,237,263,268,267,288,320,350,368,381,339,314
Expenses+,231,228,195,215,207,201,221,249,277,295,302,266,237
Operating Profit,14,36,42,48,61,66,67,71,73,72,79,73,77
OPM %,6%,14%,18%,18%,23%,25%,23%,22%,21%,20%,21%,21%,24%
Other Income+,5,3,3,2,5,1,9,2,2,3,2,2,3
Interest,8,7,6,5,8,5,5,5,5,7,7,5,7
Depreciation,16,15,15,14,15,16,21,17,18,18,17,18,18
Profit before tax,-5,18,24,32,43,47,50,51,52,51,56,52,55
Tax %,29%,6%,4%,6%,6%,5%,8%,5%,5%,7%,3%,3%,3%
Net Profit+,-6,17,23,30,41,45,46,48,49,47,54,50,53
EPS in Rs,-0.22,0.63,0.85,1.11,1.52,1.68,1.72,1.81,1.85,1.76,2.03,1.87,2.00
Raw PDF,,,,,,,,,,,,,
