Metric,Mar 20146m,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,765,"2,048","2,101","2,259","2,927","4,040","3,212","2,518","2,831","3,074","4,272","4,115","3,890"
Expenses+,984,"2,362","2,133","2,198","2,779","3,737","3,083","2,298","2,745","2,940","3,852","3,744","3,599"
Operating Profit,-220,-314,-32,61,149,303,129,220,86,134,419,372,291
OPM %,-29%,-15%,-2%,3%,5%,8%,4%,9%,3%,4%,10%,9%,7%
Other Income+,-25,3,8,1,9,20,49,4,7,-30,5,128,128
Interest,10,10,1,4,5,38,19,54,45,67,60,46,40
Depreciation,72,159,154,148,149,143,134,121,88,49,47,44,44
Profit before tax,-326,-481,-180,-91,3,142,24,49,-40,-12,317,410,335
Tax %,-1%,-0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,-8%,
Net Profit+,-322,-480,-180,-91,3,142,24,49,-40,-12,317,442,361
EPS in Rs,-280.49,-416.71,-156.72,-71.62,2.32,111.32,18.91,38.84,-31.67,-9.28,249.03,346.98,283.35
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
