Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,220,244,276,284,451,465,648,854,866,934,990
Expenses+,154,175,206,207,325,350,500,706,693,738,782
Operating Profit,67,69,70,76,126,115,148,148,173,195,208
OPM %,30%,28%,25%,27%,28%,25%,23%,17%,20%,21%,21%
Other Income+,2,6,14,15,-4,16,18,20,29,49,51
Interest,24,21,23,25,30,28,20,27,40,56,62
Depreciation,18,17,13,18,24,31,33,39,53,70,78
Profit before tax,27,37,49,48,67,71,113,102,109,118,120
Tax %,16%,16%,18%,27%,30%,9%,20%,17%,8%,15%,
Net Profit+,23,31,40,35,47,64,90,85,100,101,104
EPS in Rs,133.60,213.90,224.92,19.17,10.69,15.92,24.00,24.07,30.37,30.07,30.71
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
