Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,276,639,437,178,279,526,774,377,377,643,662,213
Expenses+,272,578,408,171,256,471,722,368,354,572,608,214
Operating Profit,4,61,29,7,23,55,52,9,23,71,54,-1
OPM %,1%,10%,7%,4%,8%,10%,7%,2%,6%,11%,8%,-1%
Other Income+,0,1,1,1,2,6,6,5,5,6,6,6
Interest,7,9,10,8,10,11,14,14,12,14,16,20
Depreciation,6,7,8,8,9,11,11,12,12,12,13,14
Profit before tax,-9,46,12,-8,7,39,32,-12,4,50,31,-29
Tax %,-27%,27%,29%,-27%,27%,28%,28%,-27%,28%,25%,27%,-22%
Net Profit+,-6,33,9,-6,5,28,23,-8,3,38,23,-22
EPS in Rs,-1.20,6.40,1.68,-1.17,0.62,2.91,2.44,-0.88,0.26,3.93,2.39,-2.31
Raw PDF,,,,,,,,,,,,
