Metric,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Mar 2020,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,TTM
Sales+,648,605,588,593,700,809,809,881,"1,156","1,516","1,685","1,742","1,852"
Expenses+,558,533,518,560,643,736,736,764,995,"1,316","1,432","1,485","1,569"
Operating Profit,91,73,71,33,57,73,73,116,161,200,252,257,283
OPM %,14%,12%,12%,6%,8%,9%,9%,13%,14%,13%,15%,15%,15%
Other Income+,34,70,17,16,19,15,15,11,42,10,11,8,55
Interest,1,1,1,0,0,2,2,6,5,5,9,8,9
Depreciation,11,14,12,13,14,15,15,26,28,35,54,65,63
Profit before tax,112,128,76,35,63,72,72,96,170,170,200,192,266
Tax %,30%,23%,29%,36%,19%,19%,19%,15%,17%,18%,30%,32%,
Net Profit+,78,98,54,23,51,58,58,82,141,140,140,131,189
EPS in Rs,6.13,7.71,4.33,1.82,4.12,4.83,4.86,6.84,11.96,11.81,11.84,11.09,15.95
Dividend Payout %,95%,51%,0%,0%,14%,31%,0%,0%,48%,55%,57%,113%,
