Metric,Dec 2013,Mar 201515m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,157","1,578","1,329","1,279","1,325","1,342","1,085","1,107","1,343","1,634","1,696","1,800","1,866"
Expenses+,"1,012","1,390","1,152","1,064","1,097","1,115",953,979,"1,177","1,423","1,453","1,507","1,561"
Operating Profit,145,189,178,215,228,227,132,128,166,211,243,294,305
OPM %,13%,12%,13%,17%,17%,17%,12%,12%,12%,13%,14%,16%,16%
Other Income+,5,18,18,11,11,14,11,-33,7,18,28,36,48
Interest,25,33,26,17,7,6,4,3,5,5,6,7,6
Depreciation,69,93,78,79,77,86,93,84,87,84,85,87,89
Profit before tax,56,79,91,130,155,149,47,8,81,141,181,235,258
Tax %,36%,36%,40%,36%,38%,36%,17%,37%,27%,24%,26%,28%,
Net Profit+,36,51,55,84,96,96,39,5,59,107,133,170,188
EPS in Rs,4.88,7.10,8.56,15.05,15.88,15.71,5.84,0.10,9.71,18.13,22.81,29.13,32.50
Dividend Payout %,143%,123%,65%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
