Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,178,230,208,230,235,281,253,273,297,370,311,346,383
Expenses+,152,194,182,196,198,237,217,230,255,313,265,301,336
Operating Profit,26,36,26,34,37,45,36,43,42,57,46,45,48
OPM %,15%,16%,12%,15%,16%,16%,14%,16%,14%,15%,15%,13%,12%
Other Income+,4,4,5,5,4,6,9,6,6,6,6,6,12
Interest,3,3,3,4,4,4,4,5,5,5,5,6,7
Depreciation,8,9,9,11,13,13,13,14,15,17,17,19,21
Profit before tax,18,28,18,24,25,34,28,31,29,41,30,26,32
Tax %,25%,25%,25%,25%,25%,26%,24%,26%,26%,27%,25%,27%,25%
Net Profit+,14,21,13,18,19,26,21,23,21,29,23,19,24
EPS in Rs,5.32,8.10,5.21,7.12,7.29,9.52,7.85,8.51,7.93,11.00,8.49,7.11,8.89
Raw PDF,,,,,,,,,,,,,
