Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,10.06,26.62,36.71,33.25,68.85,81.90
Expenses+,8.03,23.31,33.08,28.86,61.24,73.08
Operating Profit,2.03,3.31,3.63,4.39,7.61,8.82
OPM %,20.18%,12.43%,9.89%,13.20%,11.05%,10.77%
Other Income+,0.06,0.33,0.61,0.65,0.34,0.42
Interest,0.05,0.12,0.06,0.05,0.18,0.18
Depreciation,0.62,0.58,0.61,0.52,0.76,0.77
Profit before tax,1.42,2.94,3.57,4.47,7.01,8.29
Tax %,30.99%,28.23%,31.65%,27.52%,26.11%,
Net Profit+,0.98,2.11,2.44,3.24,5.18,6.18
EPS in Rs,0.96,2.07,2.43,2.93,4.68,5.58
Dividend Payout %,12.47%,7.24%,14.43%,13.64%,0.00%,
