Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,260,313,299,332,340,372,348,360,396,472,420,465,517
Expenses+,237,257,257,272,277,306,287,305,334,394,355,397,445
Operating Profit,23,56,42,59,62,66,61,55,63,78,64,68,72
OPM %,9%,18%,14%,18%,18%,18%,17%,15%,16%,16%,15%,15%,14%
Other Income+,5,4,7,6,6,8,9,10,14,12,11,12,14
Interest,6,6,6,7,7,6,6,7,7,9,8,9,10
Depreciation,12,12,13,15,17,17,17,19,20,24,24,27,29
Profit before tax,10,42,30,44,45,50,47,39,49,57,44,44,47
Tax %,35%,26%,29%,25%,27%,26%,26%,29%,28%,17%,28%,32%,30%
Net Profit+,7,31,21,33,33,37,35,28,36,47,32,30,33
EPS in Rs,1.11,17.92,12.88,20.58,20.28,20.64,20.40,13.78,19.97,26.40,16.51,16.61,15.76
Raw PDF,,,,,,,,,,,,,
