Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,292","4,219","4,644","3,614","1,912","3,056","4,069","4,259","4,620","4,917"
Expenses+,"1,218","3,977","4,350","3,390","1,911","2,864","3,630","3,734","4,004","4,272"
Operating Profit,74,242,294,224,1,192,440,525,616,645
OPM %,6%,6%,6%,6%,0%,6%,11%,12%,13%,13%
Other Income+,2,5,4,-2,-134,-67,26,56,33,46
Interest,34,96,131,278,183,135,135,156,170,161
Depreciation,43,139,153,421,238,233,203,230,256,270
Profit before tax,-1,12,13,-477,-554,-242,127,194,224,259
Tax %,"-1,310%",-12%,-67%,-16%,8%,-2%,32%,29%,85%,
Net Profit+,15,13,21,-399,-596,-237,87,137,33,55
EPS in Rs,,,1.48,-35.31,-51.08,-20.19,2.76,6.06,-2.67,-1.24
Dividend Payout %,0%,0%,0%,0%,0%,0%,36%,21%,-60%,
