Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,670,868,"1,210",908,741,685,763,640,934,"1,224","1,241",852,"1,408"
Expenses+,575,779,"1,094",843,666,611,701,584,856,"1,157","1,147",828,"1,312"
Operating Profit,95,89,116,65,75,74,62,56,77,67,94,24,96
OPM %,14%,10%,10%,7%,10%,11%,8%,9%,8%,5%,8%,3%,7%
Other Income+,21,30,30,31,32,29,28,29,32,33,30,49,62
Interest,63,66,61,61,64,61,59,54,49,47,45,31,32
Depreciation,18,17,18,18,19,20,21,20,23,23,23,24,26
Profit before tax,34,35,67,17,25,21,11,11,36,29,56,19,99
Tax %,44%,9%,27%,30%,39%,29%,36%,45%,28%,26%,27%,27%,27%
Net Profit+,19,32,49,12,15,15,7,6,26,22,41,14,73
EPS in Rs,1.79,2.97,4.54,1.13,1.40,1.41,0.66,0.57,2.44,2.03,3.82,1.27,6.78
Raw PDF,,,,,,,,,,,,,
