Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,103,118,122,110,107,139,180,152,165,192,225,193,207
Expenses+,87,101,104,97,93,120,155,129,137,154,186,163,176
Operating Profit,15,17,18,13,14,19,25,24,28,38,40,30,31
OPM %,15%,15%,15%,12%,13%,14%,14%,16%,17%,20%,18%,16%,15%
Other Income+,2,1,2,5,4,3,2,2,3,2,7,7,9
Interest,1,0,1,0,1,1,1,1,1,1,1,1,1
Depreciation,1,2,2,3,3,3,3,3,2,3,4,4,4
Profit before tax,15,16,17,15,14,19,22,22,28,36,42,33,36
Tax %,31%,30%,29%,14%,29%,24%,26%,26%,23%,25%,25%,25%,
Net Profit+,10,11,12,13,10,14,17,16,21,27,32,25,27
EPS in Rs,4.81,5.27,5.65,6.07,4.84,6.62,8.32,8.16,10.62,13.32,15.76,12.41,13.43
Dividend Payout %,23%,23%,23%,24%,34%,27%,24%,27%,23%,21%,20%,29%,
