Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,458,506,755,760,709,873,854,842,935,938
Expenses+,400,441,639,633,553,780,799,795,841,850
Operating Profit,57,65,116,127,156,93,54,47,94,88
OPM %,13%,13%,15%,17%,22%,11%,6%,6%,10%,9%
Other Income+,6,-0,-2,7,1,4,6,7,3,3
Interest,5,7,13,12,2,4,13,20,25,29
Depreciation,14,15,18,19,17,17,19,20,24,26
Profit before tax,44,43,83,103,137,76,27,14,48,35
Tax %,37%,42%,31%,16%,26%,30%,28%,35%,28%,
Net Profit+,28,25,57,86,102,53,20,9,34,24
EPS in Rs,13.54,7.43,16.98,25.61,30.29,15.84,5.87,2.70,10.20,7.08
Dividend Payout %,3%,7%,6%,10%,8%,9%,9%,18%,5%,
