Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"5,762","5,751","5,749","5,861","7,518","9,111","5,976","6,099","6,130","6,282","6,703","7,234","7,618"
Expenses+,"4,763","5,141","4,493","4,510","5,995","7,367","4,428","4,695","4,980","5,503","5,802","6,061","6,354"
Operating Profit,999,610,"1,256","1,352","1,522","1,744","1,548","1,403","1,150",779,901,"1,173","1,263"
OPM %,17%,11%,22%,23%,20%,19%,26%,23%,19%,12%,13%,16%,17%
Other Income+,-173,86,4,19,36,-249,225,263,8,-9,-76,416,15
Interest,337,368,371,341,284,220,200,184,145,188,272,240,208
Depreciation,281,288,347,291,415,371,340,349,382,554,382,369,389
Profit before tax,207,40,542,738,859,904,"1,233","1,133",630,28,170,981,681
Tax %,34%,200%,29%,22%,26%,36%,27%,26%,34%,333%,57%,15%,
Net Profit+,138,-40,387,575,634,577,898,836,413,-65,73,836,474
EPS in Rs,6.84,-3.63,24.60,36.14,40.35,36.06,56.39,52.47,25.98,-3.83,4.84,52.69,29.98
Dividend Payout %,43%,-83%,12%,8%,7%,12%,9%,10%,19%,-130%,102%,9%,
