Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,251,293,339,377,462,459,548,681,732
Expenses+,171,184,206,211,259,277,327,408,440
Operating Profit,80,108,133,166,204,182,221,273,291
OPM %,32%,37%,39%,44%,44%,40%,40%,40%,40%
Other Income+,7,10,15,12,13,14,19,17,23
Interest,5,14,15,15,16,21,24,27,29
Depreciation,26,40,49,50,53,62,57,71,80
Profit before tax,55,65,83,112,147,114,159,193,204
Tax %,37%,29%,25%,24%,25%,25%,25%,26%,
Net Profit+,35,46,63,85,111,85,120,144,152
EPS in Rs,77.44,101.29,138.00,18.64,10.76,8.29,11.61,13.94,14.78
Dividend Payout %,0%,0%,0%,0%,9%,12%,9%,14%,
