Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"2,894","2,727","2,875","2,935","3,053","2,963","2,992","3,193","3,305","3,300","3,421","3,529","3,773"
Expenses+,"2,691","2,490","2,507","2,548","2,597","2,546","2,600","2,810","2,942","2,959","3,033","3,142","3,269"
Operating Profit,203,238,368,387,456,418,392,383,362,341,388,388,503
OPM %,7%,9%,13%,13%,15%,14%,13%,12%,11%,10%,11%,11%,13%
Other Income+,-14,2,-6,3,10,3,-55,14,3,3,-33,1,4
Interest,58,66,67,70,72,66,62,62,66,75,74,82,87
Depreciation,115,117,125,121,124,127,136,132,137,141,152,151,174
Profit before tax,16,56,170,199,270,228,139,203,162,128,129,156,246
Tax %,65%,27%,27%,27%,25%,24%,33%,27%,29%,28%,28%,27%,28%
Net Profit+,6,35,132,144,208,181,102,154,121,97,99,112,186
EPS in Rs,1.94,8.75,33.05,35.75,51.42,44.87,26.84,38.11,30.13,24.01,24.60,27.80,45.97
Raw PDF,,,,,,,,,,,,,
