Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,197,240,226,304,208,211,300,350,422,413
Expenses+,169,201,184,238,176,186,246,302,369,364
Operating Profit,29,39,41,66,32,25,54,49,53,49
OPM %,14%,16%,18%,22%,15%,12%,18%,14%,13%,12%
Other Income+,3,1,1,-10,3,3,-2,4,7,7
Interest,8,4,7,13,14,14,20,16,21,20
Depreciation,3,3,4,4,4,4,5,8,9,9
Profit before tax,20,33,32,39,17,10,27,28,30,27
Tax %,36%,37%,30%,27%,27%,29%,54%,29%,33%,
Net Profit+,13,20,22,29,13,7,12,20,20,18
EPS in Rs,6.70,8.48,9.35,11.94,5.32,2.97,5.18,8.32,8.35,7.53
Dividend Payout %,22%,24%,21%,0%,0%,0%,0%,0%,0%,
