Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"1,182","1,073","1,055",867,"1,174","1,125","1,094",955,"1,273","1,203","1,189","1,107","1,418"
Expenses+,"1,066",961,942,773,"1,035",982,959,839,"1,111","1,037","1,030",974,"1,230"
Operating Profit,116,112,113,93,139,143,135,116,162,166,159,133,187
OPM %,10%,10%,11%,11%,12%,13%,12%,12%,13%,14%,13%,12%,13%
Other Income+,20,11,10,10,0,36,12,8,7,8,11,14,13
Interest,32,34,34,34,36,38,35,38,39,40,39,41,42
Depreciation,59,55,55,55,55,62,59,61,64,65,65,69,71
Profit before tax,45,34,35,14,48,79,53,24,66,67,66,39,87
Tax %,38%,35%,18%,132%,23%,18%,25%,41%,32%,31%,210%,36%,35%
Net Profit+,28,22,29,-5,37,65,40,14,45,47,-72,25,56
EPS in Rs,1.37,0.61,0.82,-1.24,1.63,3.84,1.83,0.10,2.22,2.00,-6.99,0.94,2.81
Raw PDF,,,,,,,,,,,,,
