Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,732,553,657,821,716,855,701,742,"1,155","1,396","1,291","2,017","2,227"
Expenses+,690,523,618,733,650,794,649,673,"1,084","1,275","1,157","1,689","1,853"
Operating Profit,42,31,38,87,65,61,51,69,71,121,134,327,373
OPM %,6%,6%,6%,11%,9%,7%,7%,9%,6%,9%,10%,16%,17%
Other Income+,4,3,4,6,6,12,16,9,13,9,6,35,51
Interest,26,32,38,42,44,46,46,46,44,48,51,51,49
Depreciation,10,13,15,15,16,19,20,19,17,25,25,27,28
Profit before tax,9,-11,-10,36,11,9,2,13,23,57,64,285,348
Tax %,35%,-34%,-32%,34%,41%,41%,44%,39%,39%,26%,27%,24%,
Net Profit+,5,-8,-7,24,6,5,1,8,14,42,47,216,263
EPS in Rs,0.20,-0.30,-0.28,0.88,0.20,0.17,0.02,0.27,0.53,1.54,1.56,7.14,8.71
Dividend Payout %,23%,0%,0%,0%,0%,0%,0%,19%,14%,5%,6%,3%,
