Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,0,62,47,56,43,32,25,20
Expenses+,0,53,39,46,116,257,26,171
Operating Profit,-0,10,8,11,-73,-225,-2,-151
OPM %,,15%,17%,19%,-169%,-692%,-7%,-740%
Other Income+,0,39,31,587,34,38,98,241
Interest,0,0,0,0,0,0,0,0
Depreciation,0,1,1,0,0,0,0,0
Profit before tax,-0,48,39,597,-40,-187,96,90
Tax %,0%,9%,12%,14%,13%,5%,9%,
Net Profit+,-0,44,34,514,-44,-196,87,82
EPS in Rs,,40.10,31.29,469.87,-40.62,-179.37,79.50,74.88
Dividend Payout %,0%,0%,0%,0%,-25%,0%,0%,
