Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"3,102","3,312","3,750","4,911","5,186","5,918","6,964","6,267","8,306","9,374","9,561","9,383","9,765"
Expenses+,"2,863","3,043","3,579","4,471","4,741","5,462","6,475","5,703","7,637","8,851","8,856","8,562","8,915"
Operating Profit,240,269,171,440,445,456,489,564,669,523,704,821,850
OPM %,8%,8%,5%,9%,9%,8%,7%,9%,8%,6%,7%,9%,9%
Other Income+,36,104,315,95,58,154,49,90,109,139,90,93,90
Interest,40,65,98,86,45,34,42,46,63,99,108,133,138
Depreciation,28,37,52,75,86,98,148,154,173,185,214,226,228
Profit before tax,207,271,336,375,372,477,349,453,542,378,473,554,573
Tax %,24%,22%,22%,27%,32%,27%,14%,23%,23%,22%,24%,27%,
Net Profit+,157,210,261,273,251,349,301,348,419,295,359,403,409
EPS in Rs,118.36,22.69,28.19,13.44,11.94,17.13,15.94,16.33,20.96,15.71,18.71,22.35,22.64
Dividend Payout %,23%,114%,16%,33%,38%,26%,34%,49%,45%,60%,53%,49%,
