Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales+,429,512,815,"1,114","1,683","2,000","1,600",840,293,391,1,0
Expenses+,86,90,142,235,373,575,829,"1,920","6,802","-8,933",3,3
Operating Profit,342,423,673,879,"1,311","1,425",771,"-1,081","-6,509","9,324",-2,-3
OPM %,80%,82%,83%,79%,78%,71%,48%,-129%,"-2,220%","2,384%",-381%,"-1,464%"
Other Income+,1,0,0,15,0,2,2,0,0,-277,0,28
Interest,277,317,536,749,"1,062","1,323","1,337","1,220","1,185",32,1,1
Depreciation,0,0,1,7,2,3,4,3,212,2,0,0
Profit before tax,66,106,137,138,247,102,-567,"-2,303","-7,906","9,014",-4,24
Tax %,34%,35%,37%,-25%,32%,34%,-34%,-34%,-31%,40%,0%,-0%
Net Profit+,43,69,87,173,167,67,-375,"-1,520","-5,440","5,419",-4,24
EPS in Rs,6.59,10.49,13.18,14.90,3.45,1.39,-7.74,-31.33,-112.14,111.71,-0.07,0.50
Dividend Payout %,0%,0%,0%,3%,29%,0%,0%,0%,0%,0%,0%,0%
