Metric,Mar 2015,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Revenue+,29,87,118,105,107,133,192,250,268
Interest,11,35,50,51,47,57,82,108,117
Expenses+,12,31,38,34,37,52,67,88,93
Financing Profit,6,22,29,21,23,25,43,55,58
Financing Margin %,21%,25%,25%,19%,21%,19%,22%,22%,22%
Other Income+,0,1,-3,-5,-7,1,0,-0,2
Depreciation,1,2,2,4,4,4,4,5,5
Profit before tax,6,21,24,12,12,21,39,50,56
Tax %,32%,32%,24%,25%,22%,28%,19%,25%,
Net Profit+,4,14,18,9,9,15,31,38,42
EPS in Rs,7.00,15.20,14.49,7.22,7.51,12.11,8.28,7.52,8.44
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,10%,
