Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,19.17,0.00,21.99,54.30,67.03,50.44,66.25,38.96,33.15
Expenses+,19.26,0.33,21.26,52.54,62.66,45.98,59.24,35.20,29.78
Operating Profit,-0.09,-0.33,0.73,1.76,4.37,4.46,7.01,3.76,3.37
OPM %,-0.47%,,3.32%,3.24%,6.52%,8.84%,10.58%,9.65%,10.17%
Other Income+,-0.25,0.28,0.08,0.04,0.31,0.75,1.75,4.57,6.28
Interest,0.00,0.00,0.30,0.98,1.27,0.72,1.53,1.56,1.73
Depreciation,0.00,0.04,0.41,0.64,0.64,0.43,0.74,0.66,0.65
Profit before tax,-0.34,-0.09,0.10,0.18,2.77,4.06,6.49,6.11,7.27
Tax %,-2.94%,0.00%,20.00%,27.78%,19.13%,24.14%,26.04%,10.15%,
Net Profit+,-0.28,-0.19,0.03,0.15,2.35,3.22,4.79,5.49,6.94
EPS in Rs,-0.26,-0.18,0.03,0.14,1.19,1.29,1.92,2.20,2.78
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
