Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,131","1,090","1,143",930,"1,031","1,175","1,371","1,211","1,790","2,222","2,379","3,864","3,943"
Expenses+,"1,084","1,065","1,106",962,"1,055","1,113","1,285","1,109","1,585","1,951","2,125","3,493","3,555"
Operating Profit,48,25,37,-32,-23,62,86,101,206,271,254,371,388
OPM %,4%,2%,3%,-3%,-2%,5%,6%,8%,11%,12%,11%,10%,10%
Other Income+,16,91,78,42,47,15,36,12,11,31,30,53,73
Interest,40,47,40,36,37,33,37,34,40,26,36,77,85
Depreciation,27,33,22,18,16,19,55,53,59,72,89,128,154
Profit before tax,-4,36,53,-45,-30,25,30,27,117,204,159,218,222
Tax %,80%,2%,-15%,5%,3%,-2%,0%,0%,-0%,15%,18%,27%,
Net Profit+,-7,35,61,-47,-31,26,30,26,117,173,131,159,153
EPS in Rs,-1.95,10.03,17.63,-13.53,-8.87,5.97,7.10,6.18,19.85,28.55,20.66,22.18,21.21
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,4%,0%,5%,
