Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"7,272","9,513","9,527","9,001","8,391","12,896","8,901","7,949","11,138","15,553","20,845","22,199","21,197"
Expenses+,"6,514","8,513","8,540","8,326","7,518","11,303","7,824","7,030","10,110","14,094","19,076","20,281","19,352"
Operating Profit,758,"1,000",987,675,873,"1,592","1,077",919,"1,028","1,459","1,769","1,918","1,846"
OPM %,10%,11%,10%,8%,10%,12%,12%,12%,9%,9%,8%,9%,9%
Other Income+,105,127,71,87,-23,17,63,105,272,144,99,165,182
Interest,654,737,643,513,460,522,554,480,478,515,595,680,694
Depreciation,235,277,248,203,172,193,199,181,187,203,212,216,220
Profit before tax,-27,113,167,46,219,894,387,363,635,885,"1,061","1,187","1,114"
Tax %,-138%,45%,51%,82%,37%,37%,19%,22%,22%,27%,30%,27%,
Net Profit+,-9,48,82,8,139,568,314,283,494,646,740,868,843
EPS in Rs,0.06,0.97,2.17,0.57,2.81,9.63,5.52,4.40,7.91,9.70,11.32,13.06,12.64
Dividend Payout %,156%,41%,28%,70%,36%,16%,4%,18%,25%,23%,19%,17%,
