Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,459,571,566,490,426,399,373,358,396,386,370,465,490
Expenses+,524,553,600,532,465,358,322,283,296,328,398,638,695
Operating Profit,-65,18,-34,-42,-40,41,52,74,100,58,-28,-173,-205
OPM %,-14%,3%,-6%,-9%,-9%,10%,14%,21%,25%,15%,-8%,-37%,-42%
Other Income+,36,7,11,4,2,19,20,49,25,25,22,1,11
Interest,20,21,21,22,21,28,25,23,10,3,5,20,32
Depreciation,27,25,25,18,15,12,11,10,19,17,9,24,33
Profit before tax,-76,-21,-68,-78,-74,21,36,90,96,63,-20,-217,-260
Tax %,11%,119%,11%,10%,15%,45%,21%,17%,12%,16%,7%,0%,
Net Profit+,-85,-44,-74,-86,-84,11,28,75,85,53,-21,-218,-262
EPS in Rs,-7.20,-3.90,-4.86,-7.13,-7.09,0.91,2.15,6.29,7.08,4.32,-1.79,-19.16,-23.15
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
