Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,18,18,15,15,19,41,128,173,148
Expenses+,15,15,13,12,16,29,85,113,100
Operating Profit,2,3,2,3,3,12,43,60,48
OPM %,14%,17%,15%,19%,18%,30%,34%,35%,33%
Other Income+,0,0,0,0,0,0,3,7,7
Interest,0,0,0,0,0,0,0,0,0
Depreciation,1,1,1,2,2,4,10,7,7
Profit before tax,2,2,1,1,2,9,36,60,49
Tax %,28%,28%,27%,25%,24%,25%,24%,25%,
Net Profit+,1,1,1,1,2,7,27,45,36
EPS in Rs,4.17,4.50,3.47,0.80,0.77,3.36,13.87,23.31,18.82
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,
