Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,473,478,460,499,484,505,493,503,513,511,513,530,537
Expenses+,389,398,402,422,401,423,413,422,426,428,422,443,456
Operating Profit,85,81,58,78,83,82,80,81,86,83,91,88,81
OPM %,18%,17%,13%,16%,17%,16%,16%,16%,17%,16%,18%,17%,15%
Other Income+,45,39,21,46,44,39,46,26,35,23,38,38,22
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,91,87,88,92,93,90,80,81,81,87,87,85,76
Profit before tax,38,33,-10,31,34,31,46,25,40,19,41,40,26
Tax %,20%,13%,53%,29%,41%,27%,24%,28%,35%,28%,15%,23%,30%
Net Profit+,30,29,-15,22,20,22,35,18,26,14,35,31,18
EPS in Rs,0.17,0.16,-0.08,0.13,0.11,0.13,0.20,0.10,0.15,0.08,0.20,0.18,0.10
Raw PDF,,,,,,,,,,,,,
