Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"5,081","5,304","5,145","4,483","4,465","5,973","5,731","4,791","6,128","8,090","9,323","10,389","10,354"
Expenses+,"4,631","4,842","4,712","4,049","4,088","5,516","5,331","4,435","5,715","7,489","8,526","9,479","9,363"
Operating Profit,450,462,433,434,377,457,401,356,414,601,797,910,991
OPM %,9%,9%,8%,10%,8%,8%,7%,7%,7%,7%,9%,9%,10%
Other Income+,70,73,118,95,115,60,105,54,135,156,307,250,234
Interest,39,82,12,10,13,14,15,21,25,38,88,117,120
Depreciation,92,134,72,82,82,92,117,115,113,117,148,159,171
Profit before tax,389,319,467,438,397,410,375,275,410,603,869,884,935
Tax %,44%,54%,31%,36%,42%,21%,43%,25%,24%,25%,26%,29%,
Net Profit+,220,148,282,216,231,325,212,207,312,451,643,627,669
EPS in Rs,20.64,17.60,23.69,18.72,19.48,27.31,17.83,17.34,26.21,37.79,54.15,53.25,56.33
Dividend Payout %,29%,40%,24%,30%,29%,24%,37%,38%,32%,25%,21%,25%,
