Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"1,228","1,482","1,328","1,684","1,313","1,775","1,524","1,927","1,335","1,885","1,664","1,739","1,591"
Expenses+,"1,152","1,409","1,237","1,554","1,217","1,659","1,417","1,767","1,253","1,786","1,557","1,629","1,509"
Operating Profit,75,73,91,130,97,115,108,160,82,99,107,110,82
OPM %,6%,5%,7%,8%,7%,6%,7%,8%,6%,5%,6%,6%,5%
Other Income+,1,3,5,2,2,2,3,2,2,2,2,-7,17
Interest,23,25,27,27,23,29,28,29,22,30,36,37,39
Depreciation,21,22,23,25,25,26,29,30,31,30,35,37,38
Profit before tax,32,30,46,81,50,62,53,103,31,42,38,29,22
Tax %,26%,26%,22%,25%,25%,26%,24%,25%,25%,24%,29%,25%,25%
Net Profit+,24,22,36,60,37,46,41,77,23,32,27,22,16
EPS in Rs,0.80,0.57,0.94,1.57,0.97,1.19,1.05,2.00,0.61,0.82,0.69,0.56,0.42
Raw PDF,,,,,,,,,,,,,
