Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,437","1,545","1,462","1,875","2,222","2,522","2,422","2,324","2,725","2,938","3,185","2,709","2,978"
Expenses+,"1,222","1,239","1,277","1,696","1,916","2,210","2,039","1,773","2,134","2,573","2,736","2,407","2,469"
Operating Profit,215,307,186,179,306,312,383,551,591,365,449,302,509
OPM %,15%,20%,13%,10%,14%,12%,16%,24%,22%,12%,14%,11%,17%
Other Income+,9,6,8,11,19,14,18,18,10,12,15,20,24
Interest,14,14,54,135,129,118,122,94,51,38,34,23,17
Depreciation,56,47,78,122,126,133,141,142,145,147,149,153,214
Profit before tax,153,251,61,-66,70,75,137,334,404,192,281,145,302
Tax %,34%,22%,-2%,-52%,37%,36%,37%,36%,35%,36%,38%,37%,
Net Profit+,101,195,62,-32,44,48,87,214,263,123,175,91,307
EPS in Rs,4.93,9.51,3.04,-1.57,2.16,2.32,4.23,10.45,12.85,6.00,8.53,4.45,14.93
Dividend Payout %,30%,18%,33%,-32%,35%,32%,18%,19%,19%,25%,26%,11%,
