Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,-0,47,43,45,46,59,54,53,41,49,56
Expenses+,0,38,35,39,47,70,66,65,52,63,70
Operating Profit,-0,9,8,6,-1,-11,-12,-11,-11,-15,-14
OPM %,,19%,19%,14%,-2%,-19%,-22%,-22%,-28%,-30%,-26%
Other Income+,-0,0,0,1,0,0,2,1,0,1,1
Interest,-0,5,3,1,1,1,2,3,3,3,3
Depreciation,-0,0,0,0,0,0,1,1,1,1,1
Profit before tax,-0,4,5,6,-2,-12,-13,-15,-14,-18,-17
Tax %,-0%,2%,2%,7%,21%,3%,-34%,12%,10%,1%,
Net Profit+,-0,4,5,6,-2,-13,-9,-16,-16,-18,-17
EPS in Rs,,3.83,5.19,5.63,-1.94,-12.83,-8.55,-15.57,-9.62,-12.66,-12.01
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,
