Metric,Mar 2014,Mar 2015,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,318","1,434","2,660","3,535","4,077","5,241","6,328","6,786"
Expenses+,"1,248","1,354","2,479","3,248","3,749","4,853","5,947","6,289"
Operating Profit,70,80,182,287,329,389,381,497
OPM %,5%,6%,7%,8%,8%,7%,6%,7%
Other Income+,3,6,15,13,31,42,55,64
Interest,19,26,73,80,98,121,149,161
Depreciation,3,7,40,42,46,60,68,70
Profit before tax,51,53,84,177,216,250,218,330
Tax %,29%,33%,27%,27%,27%,27%,27%,
Net Profit+,36,36,61,129,158,181,159,249
EPS in Rs,10.25,10.07,5.78,12.13,14.19,11.65,9.73,15.23
Dividend Payout %,12%,0%,0%,4%,5%,9%,10%,
