Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,124,157,128,130,157,148,162,147,176,183,234,208,212
Expenses+,112,140,121,119,139,134,145,127,156,159,210,188,195
Operating Profit,12,18,6,11,18,15,17,20,19,23,24,20,17
OPM %,10%,11%,5%,9%,12%,10%,11%,13%,11%,13%,10%,9%,8%
Other Income+,-0,-1,0,1,1,4,6,1,-5,2,4,1,1
Interest,12,11,10,9,13,11,11,11,10,9,8,6,5
Depreciation,8,6,5,4,7,7,6,6,6,7,7,6,6
Profit before tax,-8,-1,-9,-2,-2,1,6,4,-1,8,13,9,7
Tax %,-2%,5%,1%,48%,21%,66%,3%,40%,286%,34%,43%,43%,
Net Profit+,-8,-1,-9,-3,-2,0,6,2,-5,5,7,5,3
EPS in Rs,-3.45,-0.45,-3.91,-1.23,-1.03,0.15,2.74,1.06,-2.04,2.36,3.27,2.33,1.50
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
