Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,0,0,86,75,70,81,6,8,2,6,4
Expenses+,0,676,215,205,187,264,4,8,9,10,10
Operating Profit,0,-676,-128,-130,-118,-183,3,-1,-7,-5,-6
OPM %,,,-149%,-174%,-170%,-225%,43%,-7%,-428%,-83%,-150%
Other Income+,0,676,203,9,8,10,-279,-97,-399,"1,146","1,249"
Interest,0,0,247,129,131,135,21,21,15,15,15
Depreciation,0,0,12,10,18,21,0,0,0,0,0
Profit before tax,0,-0,-185,-260,-259,-329,-297,-118,-421,"1,126","1,228"
Tax %,,0%,0%,0%,0%,0%,0%,0%,0%,0%,
Net Profit+,0,-0,-185,-260,-259,-329,-297,-140,-441,"1,129","1,202"
EPS in Rs,,,-7.70,-10.84,-10.81,-13.74,-12.41,-5.85,-18.41,47.11,50.14
Dividend Payout %,,0%,0%,0%,0%,0%,0%,0%,0%,0%,
