Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,290,261,274,311,328,339,396,485,559,582,517,556,584
Expenses+,216,214,235,269,295,297,339,414,454,461,438,486,506
Operating Profit,74,48,39,42,33,42,57,71,106,121,79,70,78
OPM %,25%,18%,14%,14%,10%,12%,14%,15%,19%,21%,15%,13%,13%
Other Income+,1,2,1,5,13,4,7,8,10,2,13,16,15
Interest,2,4,1,2,3,5,6,4,5,5,7,9,10
Depreciation,5,6,6,7,7,11,14,15,14,13,14,14,13
Profit before tax,67,41,33,38,36,30,45,61,97,105,71,63,70
Tax %,37%,35%,35%,36%,32%,30%,24%,25%,25%,26%,25%,24%,
Net Profit+,42,26,22,24,24,21,34,45,73,77,53,48,54
EPS in Rs,2.76,1.73,1.42,1.61,1.59,1.37,2.23,2.97,4.78,5.08,3.50,3.17,3.57
Dividend Payout %,27%,29%,28%,25%,25%,29%,27%,24%,21%,20%,23%,25%,
