Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,70,187,255,98,18,82,14,188,8,167,9,32,18
Expenses+,109,198,283,141,53,121,68,230,55,193,64,87,70
Operating Profit,-39,-11,-27,-43,-35,-39,-54,-42,-48,-25,-55,-55,-52
OPM %,-56%,-6%,-11%,-44%,-196%,-48%,-379%,-22%,-627%,-15%,-597%,-172%,-299%
Other Income+,31,51,38,37,8,82,119,55,45,28,149,107,112
Interest,2,3,3,4,0,0,3,6,7,4,2,4,2
Depreciation,3,3,3,3,3,4,4,4,4,4,6,6,7
Profit before tax,-14,33,4,-14,-30,39,59,3,-14,-5,87,42,51
Tax %,-47%,-4%,86%,-69%,-36%,-28%,-22%,-314%,0%,336%,2%,-23%,6%
Net Profit+,-8,34,1,-4,-19,50,71,13,-14,-22,85,51,48
EPS in Rs,-0.36,1.56,0.02,-0.20,-0.89,2.35,3.36,0.60,-0.66,-1.05,3.99,2.40,2.25
Raw PDF,,,,,,,,,,,,,
