Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Revenue+,262,276,274,289,304,308,306,306,329,335,351,368,384
Interest,146,149,159,171,183,194,201,206,208,206,216,229,242
Expenses+,123,141,132,141,118,147,135,140,140,151,150,166,153
Financing Profit,-7,-14,-17,-22,3,-33,-30,-40,-19,-22,-16,-27,-11
Financing Margin %,-3%,-5%,-6%,-8%,1%,-11%,-10%,-13%,-6%,-7%,-5%,-7%,-3%
Other Income+,23,36,37,52,24,36,41,32,52,42,43,39,35
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,16,22,20,30,26,3,11,-8,33,20,27,12,23
Tax %,0%,0%,-87%,7%,12%,0%,69%,0%,21%,0%,-7%,0%,0%
Net Profit+,16,22,38,28,23,3,3,-8,26,20,29,12,23
EPS in Rs,0.40,0.55,0.97,0.72,0.59,0.08,0.08,-0.20,0.65,0.50,0.73,0.31,0.59
Gross NPA %,6.04%,5.83%,5.19%,5.21%,5.36%,4.81%,4.05%,4.04%,3.82%,3.53%,2.98%,3.22%,3.10%
Net NPA %,2.32%,1.82%,1.16%,1.09%,1.29%,1.27%,1.25%,1.26%,1.12%,0.86%,0.99%,1.13%,1.12%
Raw PDF,,,,,,,,,,,,,
